jagħmilhom	does	يَا
jtellfek	ask you	نسألك
jtemtem	the end	النهاية
qgħadhom	remaining	بقايا
tbissima'	smile	إبتسم
ingħidu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
eliġibbiltà	Eligibility	القبول
lezzjonijiet	lessons	دروس
torri	towers	البراج
live	live	حية
kontinwazzjoni	continuation	المتابعة
regulations	Regulations	النظم
anorina	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għandix	I have	عِنْدِي
reliġjuża	religious	الدينية
naslu	the next generation	الجيل القادم
llejla	night	ليلة
jaħsibhiex	think	فكروا
mi	Me	أنا
trodd	the trod	القيود
ċass	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
Skużawni	Please excuse me	عفوا عِنْدِي
isaqsihom	ask them	اسألوهم
fetaħ	Open	مفتوح
jgerger	to move	لتحرك
imgħoddi	previously	سابقا
innu	Other	مَا عِنْدُو
pixxina	a swimming pool	حمام سباحة
allura	then	بعد كده
magazine	magazine	مجلة
midalji	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
Angele	English	الإنجليزية
missjunarji	Missionaries	الميسيونيونيون
jitqanqal	is stirred	يُحْرِكْ
Bħala	As	كمان
jagħfas	pressing	الضغط
reġistru	Register	سجل
Nature	Nature	الطبيعة
jużah	the following:	المعلومات التالية:
stħat	hours	ساعات
ċumbumm	cotton	القماش
soffitt	ceiling	سقف
flejjs	Flowers	الزهور
Carabott	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
estetikament	aesthetically	جمالي
expecially	exespecially	خاصة
pupazz	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ħax	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
immaq	the following:	المعلومات التالية:
tirrepeti	repeated	متكرر
anomalija	the following information is provided:	المعلومات التالية:
Filgħodu	In the morning	في الصباح
ħudha	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
niddiżappuntaha	disappointing	خيبة الأمل
dgħajsa	boats	قوارب
xitwija	Repair	إصلاحات
jukebox	jukebox	جوك باكس
nitwi	nuts	نوتات
jifforma	forming	تكوين
jaqtagħli	the following:	المعلومات التالية:
jibagħtuhom	send them	إرسلهم
konna	we were	كُنَّا
twila	long	طولة
ibiddel	change	تغييرات
wiċċa	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
miksurin	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
rebaħ	winning	فوز
daqslikieku	as if they were	كإِنّْهُمْ
banju	bath	الحمام
Tiesto	Test	اختبار
mistiedna	invited	مُدعو
tiri	Other	مَا عِنْدُو
editur	the editor	المحرر
imissna	right	حق
infakkar	remember	تَذْكُرْ
Ħa	Other	مَا عِنْدُو
żbaljajt	I was wrong	كَانْتْ مخطئْ
assessed	assessed	المقياس
ssaqsi	asked	سُوالوا
jitfgħu	Flowers	الزهور
nħaddmu	operating	العمالة
tattika	Tactics	تكتيكات
Silva	The following table shows the results of the tests:	الجدول التالي يظهر النتائج مِالعِلْمَاتْ:
aċċettati	accepted	قَبِّلْ
flixkun	bottle	زجاجه
Chadwick	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
iżvantaġġi	disadvantages	المياه
resqin	Other	مَا عِنْدُو
skont	according to	وفقا ل
ġeneruża	Generic	المادة العادية
handbags	Handbags	كيسات يدوية
Suzanne	The following information is provided:	المعلومات التالية:
barrani	foreign	أجنبي
fiex	in which	فِيهَا
Chair	Chair	كراسي
jista'	may	مايو
neħilsu	free	مجاني
accountable	accountable	مسؤولة
tih	the following:	المعلومات التالية:
joy	of which:	مِنْهُمْ:
żejt	Oil	النفط
popolari	popular	شعبية
jason	Jason	جايسون
bovis	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
twelid	Birth	المولود
toilet	toilet	الحمام
jikkategorizzahom	classify them	تصنفهم
rainy	rainy	المطر
tqal	weight	وزن
kitbet	written	كِتَابْ
ista'	the following:	المعلومات التالية:
Qorti	Court of Justice	القضاء
librerija	library	المكتبة
joan	Other	مَا عِنْدُو
balzmu	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
iżommlu	maintain	إمسك
Iżvizzera	Switzerland	سويسرا
papra	paper	ورق
dendel	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
nistennew	we expect	نتوقع
ninstabu	to be established	يُقْرَى
pray	pray	صلوات
jistħaqqhielu	drilling	الحفر
akkoljenti	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tintebaħ	beaten	مَا يُضْرَبْشْ
sor	Other	مَا عِنْدُو
Ninu	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
suspettuża	suspected	المشتبه فيهم
sessjoni	session	جلسة
Champions	Champions	الأبطال
nbidel	change	تغييرات
ħosbiena	the opinion	الرأي
Lokali	Local	الموقع
george	george	جورج
suicides	Suicides	الاكتلاع
selvaġiżmu	forestry	الغابات
lestili	Other, not further worked than hot-rolled	مَا يِتْعَدِّي فِي الحَرْ، مَا يِتْع
bnina	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
imqaddsa	sacred	القديسين
nispera	hope	أمل
sproporzjonata	disproportionate	مُشْتَرِي
Fost	In the meantime	و في الوقت متاعي
kummerċjali	Commercial	التجارة
dominanti	dominating	المهيمنة
trasparenti	transparent	الشفافية
ilhom	the date	التاريخ
obsor	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
raqadx	not sleep	ما ننامش
ħadha	1 and	1 و
inkjesta	survey	إستطلاع
ramel	sand	رمل
zalza	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Contest	Competition	تنافسة
Seduta	Meeting	الاجتماع
nsemmix	not to mention	مَا نْقُولِش
qbiżna	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
tidentifika	identifying	تحديد
Alla	God	الله
xtrali	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Piet	Other	مَا عِنْدُو
istint	the following:	المعلومات التالية:
jixtru	purchase	شراء
kundizzjoni	condition	الحالة
akkwistati	acquired	متاعي
Imsieħba	Other financial instruments	أدوات مالية أخرى
tikseb	receiving	المقبلين
xjentisti	scientists	العلماء
tikkonvinċih	convincing him	يقنعوه
warajkom	behind you	وراءك
jafda	trust	ثقة
Fatras	Other	مَا عِنْدُو
tixtieqha	want it	نحبها
klinika	clinic	المطبخ
xwejjaħ	Parfums	العطور
Ħames	The Commission shall adopt implementing acts.	المفوضية تَاخِذْ الوَقْتْ الِّي تُخْرُجْ ف
xegħlitu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Jew	Or	أو
taffietlu	the table	الطاولة
nsaqsikhom	I ask them	نَسْألهم
areas	areas	مناطق
jiggarantixxiha	guarantees it	يضمنو
Godfrey	Godfrey	غودفري
jistampahuli	printing	طابعة
biki	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
kapaċità	capacity	القوة
univers	the universe	الكون
bintha	daughter	ابنتك
huwa	is	هو
jpespes	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
twieldu	born	وُلدت
għajxien	livelihoods	طرق العيش
taha	the following:	المعلومات التالية:
settembru	September	سبتمبر
parlano	French	فرنسي
tistħux	not worthy	ما يلازمكِش
madanakollu	However	باكيد
dwaru	on	على
xeħet	Other, of a fat content, by weight	مِنْ غِيرْ مَا، مِنْ ثَمَّة مِنْ الْك
miċ-	of the	من
Waħda	Other	مَا عِنْدُو
sorting	the following information is provided:	المعلومات التالية:
pajsaġġ	landscape	المشهد
żugraga	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
skars	the following:	المعلومات التالية:
ġimgħt	week	أسبوع
approvazzjoni	approval	الموافقة
Estate	Property	الممتلكات
twaqqigħ	the following:	المعلومات التالية:
għalih	for	ل
jagħtil	the following:	المعلومات التالية:
isfel	down	أسفل
ġoger	a geogger	جوجر
ringieli	Other	مَا عِنْدُو
riġlejn	feet	قاعدين
tittrasmettih	transmitted	يُرْسَلْ
psikjatriku	psychiatric	النفسيات
maqtugħ	cut	كَسْرِينْ
daharhom	behind them	وْبَعْدْهُمْ
jpaxxihiex	not passing	ما يمرش
mind	from	من
jiċċassa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
bgħattilhom	sent to them	بَعْثُوهُمْ
arzell	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sekondarju	secondary	ثنائي
għaddewli	Other	مَا عِنْدُو
appella	appeal	الطعونة
waqaf	stopped	توقفوا
għajjien	fatigue	التعب
faċilità	facility	المرفق
tistaqsih	you ask	تسأل
imħallt	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
insapportabbli	not bearing	ما يُحْمِلْشْ
mument	time	وقت
Ġew	It has	فما
preferuti	preferred	المفضلة
sew	well	حَسْنَة
stramb	Other	مَا عِنْدُو
ġest	gesture	إشارة
Plazz	Place	مكان
nieżel	down	أسفل
piedi	feet	قاعدين
torqod	sleeping	النوم
dakinhar	on that day	فِي النْهَارْ هَاذَاكَا
changing	changing	تغييرات
ħarset	the following:	المعلومات التالية:
kumpens	compensation	تعويضات
ħalluni	leave me	خليلي
ħatar	hazard	الخطر
tferra'	the following:	المعلومات التالية:
zoos	Zoos	حيوانيات
qmistu	the composition	المكونة
daħkitx	not entered	ما دُخِّلْش
lala	Other	مَا عِنْدُو
random	random	العشوائية
Karmnu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
fittex	search	البحث
Qiegħed	It is	هيكَا
morna	other	غيرها
ħoġor	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Diġà	Already	قَد تَوَّا
storika	historical	تاريخي
spiss	frequently	فكرًا
erħewlha	the following:	المعلومات التالية:
tajr	Other	مَا عِنْدُو
ġorni	days	أيام
imdawlin	lighting	الإضاءة
mart	March	ماري
alexanderplatz	The following table shows the results of the tests:	الجدول التالي يظهر النتائج مِالعِلْمَاتْ:
mnejn	may	مايو
brillanti	Brilliant	كَانْ بَاهِي
framework	the framework	الإطار
sintomu	Symptoms of the disease	العلاجات من المرض
iħaf	the speed	السرعة
imxebilka	the following table shows the following:	الجدول التالي يظهر الشيطة الي بعيد:
Assange	The Commission shall adopt implementing acts in accordance with Article 21 of this Regulation.	المُؤْمِنْ يَعْطِيهْ القُرْبَة مْتَاع
jitqassmu	to be distributed	يُتوزع
liema	which	الِّي
teħbirni	tell me	إخبرني
bija	beef	لحم البقر
rożina	Red wine	النبيذ الأحمر
jibnulna	building	بناء
għaddew	pass	مَرْ
mjaw	Other	مَا عِنْدُو
totali	Total	الكل
ħallejt	I left	غاديت
hotspots	hotspots	المواقع الحارة
skoprejna	discovering us	يكتشفنا
Mandy	Mandy	ماندي
jingħalaq	closed	مغلق
jiftaħq	opening	فاشي
jirbħu	win	نجم
iħobbni	he loves me	يحبني
ħallelin	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Polonja	Poland	بولندا
ċraret	clear	واضحة
biegħ	seller	البائع
seqer	the following:	المعلومات التالية:
tiphom	the following table is inserted:	يُدْخَلْ الجَدْلْ المُتَحَدِّثْ:
togi	Toys	لعبات
teaching	teaching	التدريس
tneħħi	removing	إزالة
tħabblu	to be declared	يُعلَمْ
infern	hell	جحيم
tartani	the following:	المعلومات التالية:
Amelja	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
viżitaturi	visitors	زوار
jistadu	fishery	صيد
inwessgħu	to expand	ليتوسع
sistema	system	النظام
indoqqu	the following:	المعلومات التالية:
komika	Comics	كوميديا
Qalilna	We said	قُلنا
verżjoni	version	إصدار
kompletezza	completeness	الكمال
ttaffilu	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Qriema	Other articles	المواد الأُخرى
importanti	important	مهمة
Żejtun	Oil	النفط
sfaxxa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tweġibha	responds	يرد
pass	step	خطوة
lifts	Lifts	المرفق
jfittxuni	They're looking for me	يْلَوّْجُوا عْلِيَّ
rigward	concerning	بخصوص
titgħarraq	the following is added:	يُضافْ الشَّيْء الِّي يْتَحْكِي:
bormliża	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għarkupptejna	for the manufacture of textile materials	للاصنعة من المواد النسيجية
oġġezzjonajtx	I have not objected	ما عَارِضْتِش
griegki	Greek	اليوناني
jimplika	involves	يشملي
conference	Conference	مؤتمر
Żvizzeri	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
